time,eke_ice,eke_acc,ck_ice,ck_acc,wm_ice,wm_acc,we_ice,we_acc
1998-12-01,0.0032824327,0.007871416,4.6529843866771614e-10,6.01128813393359e-10,0.0023894107434898615,0.00490756006911397,9.832806426857132e-06,-4.337107384344563e-05
1999-01-01,0.0027935605,0.007736251,8.389724331925308e-11,4.376435047692695e-10,0.002628560410812497,0.005388708785176277,2.4526219931431115e-05,4.429605178302154e-05
1999-02-01,0.0026513059,0.00902514,1.312484426696514e-10,-9.62008694926908e-10,0.002288998570293188,0.005209696013480425,5.9585519920801744e-05,0.00011300006735837087
1999-03-01,0.0025552188,0.008365941,5.138784398006635e-10,8.991190569851426e-10,0.0029201756697148085,0.005039895884692669,7.240295235533267e-05,0.00014972579083405435
1999-04-01,0.002846469,0.007933158,3.913080415252068e-10,1.1394539756182098e-09,0.0032742011826485395,0.006526278331875801,0.00012549789971671999,0.00020725844660773873
1999-05-01,0.0032690146,0.007340874,2.76693501444214e-10,5.836912064793864e-10,0.0031899462919682264,0.0048167407512664795,0.0002331494470126927,0.000115257287689019
1999-06-01,0.0038919747,0.0074675716,4.669692965642014e-10,2.66509675439508e-10,0.0009349914034828544,0.004598537459969521,9.768171730684116e-05,0.00017127323371823877
1999-07-01,0.0040674787,0.0069739986,3.221278521703397e-10,4.366209616080141e-10,0.0023165051825344563,0.005511879455298185,0.00010160893725696951,2.5771843866095878e-05
1999-08-01,0.0047090487,0.0071318643,8.357624592392199e-10,6.475124325611148e-10,0.0025985571555793285,0.00503138080239296,-4.6095916331978515e-05,3.095844658673741e-05
1999-09-01,0.005212868,0.0071728583,9.643625897837182e-10,7.042192384787427e-10,0.0022765554022043943,0.005562161561101675,-6.226896221050993e-05,5.103295552544296e-05
1999-10-01,0.0052516162,0.007227465,4.761981919898517e-10,7.431262272206141e-10,0.004139087628573179,0.006801873445510864,0.00012490726658143103,1.577277907927055e-05
1999-11-01,0.004885134,0.0076624295,5.561672788978456e-10,7.362415677114598e-10,0.003572113811969757,0.005200185813009739,5.8333753258921206e-05,4.732799425255507e-06
1999-12-01,0.0034804866,0.007930736,3.3930958043271175e-10,7.620555853016242e-10,0.003182466607540846,0.0051506017334759235,9.526949725113809e-05,3.334888970130123e-05
2000-01-01,0.0031037924,0.0083968835,3.6411940129710274e-10,-5.676082520666981e-11,0.003011744236573577,0.004326550289988518,2.7417318051448092e-05,6.700450467178598e-05
2000-02-01,0.0029206818,0.008953765,4.6203663117694305e-10,-3.9374514759771273e-10,0.0024816382210701704,0.005718276370316744,3.3892014471348375e-05,0.00017320636834483594
2000-03-01,0.0031074584,0.008300916,7.497655829524774e-10,4.332541825302627e-10,0.002189318183809519,0.005969336722046137,5.283256177790463e-05,0.00032677684794180095
2000-04-01,0.0032831207,0.008192484,8.406099705204895e-10,1.1291070300956108e-09,0.0029101192485541105,0.004962361883372068,9.724419214762747e-05,0.0002136978873750195
2000-05-01,0.0040071933,0.008543477,8.029937825781985e-10,1.7013120912068302e-09,0.0027204190846532583,0.0049377488903701305,0.0001413189311278984,0.0002863129193428904
2000-06-01,0.004267827,0.0083807185,1.3909239315879063e-09,1.0662242200254468e-09,0.0016583839897066355,0.00470279436558485,6.921036856510909e-06,0.00010458253382239491
2000-07-01,0.004296817,0.007999183,4.335594383508834e-10,7.959315984074067e-10,0.001684673479758203,0.005119223613291979,0.00011308165267109871,6.75414121360518e-05
2000-08-01,0.0051105535,0.00771493,2.536392762486628e-10,5.504507960552019e-10,0.002016959711909294,0.004625542555004358,-6.95807029842399e-05,2.06097884074552e-05
2000-09-01,0.0055434685,0.007858914,4.5367248846517327e-10,2.391828957115649e-10,0.0008229935774579644,0.005109898280352354,-2.430867971270345e-05,-5.336233880370855e-05
2000-10-01,0.005000219,0.007341589,6.40112518546232e-10,4.1475603507201697e-10,0.0025191493332386017,0.005051391664892435,-9.246428817277774e-05,-3.5574375942815095e-05
2000-11-01,0.0048097465,0.007737138,1.007465333380253e-09,5.271847403065522e-10,0.0014780516503378749,0.004481757991015911,-5.933262946200557e-05,-3.086873039137572e-05
2000-12-01,0.003753446,0.008674775,5.477276965315525e-10,1.2016078132504049e-09,0.0005380825605243444,0.005009325686842203,4.1284314647782594e-05,4.4626933231484145e-05
2001-01-01,0.0035201341,0.008270863,2.6431509758673144e-10,7.738107932198091e-10,0.0009984425269067287,0.0048511638306081295,-4.723216989077628e-06,0.0001123338588513434
